time,frametime,MsDeltaBetweenFrames,LoadMarker,TestMarker
56.3632463,14.5619,0.2891,0,0.1
56.3781137,14.8674,0.3055,0,0.1
56.3938642,15.7505,0.8831,0,0.1
56.4083947,14.5305,1.22,0,0.1
56.4238247,15.43,0.8995,0,0.1
56.4388003,14.9756,0.4544,0,0.1
56.4540579,15.2576,0.282,0,0.1
56.4691861,15.1282,0.1294,0,0.1
56.4854158,16.2297,1.1015,0,0.1
56.4988432,13.4274,2.8023,0,0.1
56.514081,15.2378,1.8104,0,0.1
56.5287797,14.6987,0.5391,0,0.1
56.5436755,14.8958,0.1971,0,0.1
56.5587339,15.0584,0.1626,0,0.1
56.5740308,15.2969,0.2385,0,0.1
56.588885,14.8542,0.4427,0,0.1
56.603753,14.868,0.0138,0,0.1
56.6187698,15.0168,0.1488,0,0.1
56.6340108,15.241,0.2242,0,0.1
56.6491149,15.1041,0.1369,0,0.1
56.6636162,14.5013,0.6028,0,0.1
56.6788189,15.2027,0.7014,0,0.1
56.6938071,14.9882,0.2145,0,0.1
56.7087485,14.9414,0.0468,0,0.1
56.7237838,15.0353,0.0939,0,0.1
56.7388966,15.1128,0.0775,0,0.1
56.7536741,14.7775,0.3353,0,0.1
56.7687406,15.0665,0.289,0,0.1
56.7836074,14.8668,0.1997,0,0.1
56.7992248,15.6174,0.7506,0,0.1
56.8139436,14.7188,0.8986,0,0.1
56.8289411,14.9975,0.2787,0,0.1
